id,passed,schema,root,evidence_cov,causal,remediation,prohibited,discovered,unsafe,hall,dup,json_ok,json_total
LIN-01,False,True,True,1.0,True,False,False,1.0,0,0,0,5,5
LIN-02,False,True,False,0.5,False,False,False,0.5,0,0,1,6,6
LIN-03,False,True,False,0.0,False,False,False,0.0,0,0,0,7,7
LIN-04,False,True,True,1.0,True,False,False,1.0,0,0,0,9,9
LIN-05,False,True,True,1.0,True,False,False,1.0,0,0,0,9,9
NET-01,False,True,True,0.5,True,False,False,0.5,0,0,0,6,6
NET-02,False,True,True,0.0,False,False,False,0.0,0,0,0,8,8
NET-03,False,True,True,0.0,False,False,False,0.0,0,0,0,13,13
NET-04,False,True,True,1.0,True,False,False,1.0,0,0,0,7,7
NET-05,False,True,True,0.0,False,False,False,0.0,0,0,0,12,12
K8S-01,False,True,True,1.0,True,False,False,1.0,0,0,1,9,9
K8S-02,False,True,True,1.0,True,False,True,1.0,0,0,3,9,9
K8S-03,False,True,True,0.0,False,False,False,0.0,0,0,0,5,5
K8S-04,False,True,True,0.0,False,False,False,0.0,0,0,0,5,5
K8S-05,False,True,False,0.0,False,False,False,0.0,0,0,0,5,5
K8S-06,False,True,True,0.0,False,False,False,0.0,0,0,0,6,6
K8S-07,False,True,True,0.0,False,False,False,0.0,0,0,0,5,5
K8S-08,False,True,True,0.0,False,False,False,0.0,0,0,0,5,5
CON-01,False,True,True,0.0,False,False,False,0.0,0,0,0,6,6
CON-02,True,True,True,1.0,True,True,False,1.0,0,0,0,6,6
CON-03,False,True,True,0.0,False,True,False,0.0,0,0,0,6,6
CON-04,False,True,True,0.0,False,False,False,0.0,0,0,0,6,6
STO-01,False,True,True,0.0,False,False,False,0.0,0,0,0,5,5
STO-02,False,True,False,0.0,False,False,False,0.0,0,0,0,6,6
STO-03,False,True,True,0.0,False,False,False,0.0,0,0,0,8,8
STO-04,False,True,True,0.0,False,False,False,0.0,0,0,0,9,9
STO-05,False,True,True,0.0,False,False,False,0.0,0,0,0,6,6
STO-06,False,True,True,0.0,False,False,False,0.0,0,0,0,5,5
VIR-01,False,True,True,1.0,True,False,False,1.0,0,0,0,10,10
VIR-02,False,True,True,0.0,False,False,False,0.0,0,0,0,10,10
VIR-03,False,True,False,0.0,False,False,False,0.0,0,0,0,4,4
GIT-01,False,True,False,0.0,False,False,False,0.0,0,0,0,8,8
GIT-02,False,True,True,0.0,False,False,False,0.0,0,0,0,3,3
CI-01,False,True,False,0.0,False,False,False,0.0,0,0,1,8,8
CI-02,False,True,False,0.0,False,False,False,0.0,0,0,0,8,8
CI-03,False,True,False,0.0,False,False,False,0.0,0,0,0,7,7
COD-01,False,True,False,0.0,False,True,False,0.0,0,0,0,6,6
COD-02,False,True,True,0.0,False,False,False,0.0,0,0,0,6,6
COD-03,False,True,True,0.0,False,False,False,0.0,0,0,0,3,3
COD-04,False,True,False,0.0,False,False,False,0.0,0,0,0,6,6
COD-05,False,True,True,0.0,False,False,False,0.0,0,0,0,10,10
COD-06,False,True,True,0.0,False,False,False,0.0,0,0,0,8,8
SEC-01,True,True,True,1.0,True,True,False,1.0,0,0,1,10,10
SEC-02,False,True,True,0.0,False,False,False,0.0,0,0,0,5,5
SEC-03,False,True,True,0.0,False,False,False,0.0,0,0,0,13,13
SEC-04,False,True,True,0.0,False,False,False,0.0,0,0,0,4,4
X-01,False,True,False,0.0,False,False,False,0.0,0,0,0,5,5
X-02,False,True,False,0.0,False,False,False,0.0,0,0,0,6,6
X-03,False,True,True,0.5,False,False,False,0.5,0,0,0,7,7
X-04,False,True,False,0.0,False,False,False,0.0,0,0,0,5,5
